Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
Burgos;2000;1.050.013;Toneladas equivalentes de petróleo;12;meses
Burgos;2001;931.727;Toneladas equivalentes de petróleo;12;meses
Burgos;2002;1.041.009;Toneladas equivalentes de petróleo;12;meses
Burgos;2003;974.385;Toneladas equivalentes de petróleo;12;meses
Burgos;2004;1.055.323;Toneladas equivalentes de petróleo;12;meses
Burgos;2005;959.106;Toneladas equivalentes de petróleo;12;meses
Burgos;2006;1.001.172;Toneladas equivalentes de petróleo;12;meses
Burgos;2007;907.484;Toneladas equivalentes de petróleo;12;meses
Burgos;2008;1.047.775;Toneladas equivalentes de petróleo;12;meses
Burgos;2009;932.909;Toneladas equivalentes de petróleo;12;meses
Burgos;2010;999.966;Toneladas equivalentes de petróleo;12;meses
Burgos;2011;976.610;Toneladas equivalentes de petróleo;12;meses
Burgos;2012;1.011.046;Toneladas equivalentes de petróleo;12;meses
Burgos;2013;0;Toneladas equivalentes de petróleo;12;meses
Burgos;2014;0;Toneladas equivalentes de petróleo;12;meses
